ID,Number,From,To,WaitToBoard,TotalTime
233,2,1,2,64,72
235,1,1,3,6,17
236,3,3,1,23,34
237,5,3,1,9,27
240,4,2,1,13,22
239,6,4,5,44,53
242,1,3,6,30,56
238,1,5,3,71,82
243,3,3,1,72,83
244,4,1,4,85,101
241,3,1,6,97,125
246,2,6,3,1,27
251,1,5,2,3,28
250,1,4,2,14,31
245,5,6,1,3,46
247,5,3,5,56,68
254,3,5,6,53,61
248,5,3,1,91,103
253,5,6,2,111,130
249,2,6,1,120,148
252,4,1,2,148,157
255,5,2,6,4,22
257,4,2,1,36,45
256,2,1,2,53,62
258,3,1,3,50,67
259,2,2,6,6,29
260,4,5,6,20,29
262,2,5,3,34,45
261,3,1,3,58,71
263,5,1,6,55,82
265,4,1,2,18,28
264,4,1,6,18,46
269,2,1,2,12,22
270,1,1,5,9,33
266,2,1,6,18,50
267,2,1,6,18,50
268,1,3,2,67,75
274,6,5,1,40,68
271,5,1,5,81,101
272,2,1,5,80,100
273,3,1,5,76,96
275,6,3,1,9,21
